topicId,rank,docId,filename
1,1,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
1,2,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
2,1,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
2,2,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
3,1,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
3,2,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
4,1,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
4,2,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
5,1,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
5,2,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
6,1,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
6,2,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
7,1,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
7,2,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
8,1,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
8,2,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
9,1,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
9,2,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
10,1,2,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\GlennCosby.csv
10,2,1,C:\Users\elaiyabharathi\Documents\softw_proj\EEGC\tweets\Elli_Eats.csv
