topicId,words..
1,rt ifstylus food live tinymaddie touch exe couldn ru vicar
2,birthday make brands ymsp brunch party friend dog dbijw vy
3,http vote vvdf forward magdalenchpt afternoon nicely voting yiptaqq realfoodexeter
4,beautiful kind tea win congratulations abodeexeter fbh apz wx vf
5,https grant contact press wrotten ih explodingbakery today vicarofhell wrong
6,jt katiebarontweet menu makes adorable tr cjlaswxjrf yvcovsxoy mr relative
7,localheroesdc happy support ve pick don xx mesq mwah wfdbqvbv
8,xxx cake people hatecrime great amp spoilt chose evz radio
9,michaelcaines mine hope morning free loved boston au rr fvd
10,walk calltimeout hawmbrka bliss uvlghfxrwo laura knqywx koalainscotland atchya svyjixw
