topicId,rank,docId,filename
1,1,40,null-source
1,2,33,null-source
1,3,36,null-source
1,4,23,null-source
1,5,7,null-source
1,6,41,null-source
1,7,35,null-source
1,8,32,null-source
1,9,30,null-source
1,10,26,null-source
1,11,18,null-source
1,12,9,null-source
1,13,8,null-source
1,14,3,null-source
1,15,58,null-source
1,16,57,null-source
1,17,56,null-source
1,18,55,null-source
1,19,54,null-source
1,20,53,null-source
1,21,52,null-source
1,22,51,null-source
1,23,50,null-source
1,24,49,null-source
1,25,48,null-source
1,26,47,null-source
1,27,46,null-source
1,28,45,null-source
1,29,44,null-source
1,30,43,null-source
1,31,42,null-source
1,32,39,null-source
1,33,38,null-source
1,34,37,null-source
1,35,34,null-source
1,36,31,null-source
1,37,29,null-source
1,38,28,null-source
1,39,27,null-source
1,40,25,null-source
1,41,24,null-source
1,42,22,null-source
1,43,21,null-source
1,44,20,null-source
1,45,19,null-source
1,46,17,null-source
1,47,16,null-source
1,48,15,null-source
1,49,14,null-source
1,50,13,null-source
1,51,12,null-source
1,52,11,null-source
1,53,10,null-source
1,54,6,null-source
1,55,5,null-source
1,56,4,null-source
1,57,2,null-source
1,58,1,null-source
2,1,41,null-source
2,2,36,null-source
2,3,39,null-source
2,4,25,null-source
2,5,22,null-source
2,6,37,null-source
2,7,33,null-source
2,8,28,null-source
2,9,26,null-source
2,10,21,null-source
2,11,15,null-source
2,12,6,null-source
2,13,3,null-source
2,14,1,null-source
2,15,58,null-source
2,16,57,null-source
2,17,56,null-source
2,18,55,null-source
2,19,54,null-source
2,20,53,null-source
2,21,52,null-source
2,22,51,null-source
2,23,50,null-source
2,24,49,null-source
2,25,48,null-source
2,26,47,null-source
2,27,46,null-source
2,28,45,null-source
2,29,44,null-source
2,30,43,null-source
2,31,42,null-source
2,32,40,null-source
2,33,38,null-source
2,34,35,null-source
2,35,34,null-source
2,36,32,null-source
2,37,31,null-source
2,38,30,null-source
2,39,29,null-source
2,40,27,null-source
2,41,24,null-source
2,42,23,null-source
2,43,20,null-source
2,44,19,null-source
2,45,18,null-source
2,46,17,null-source
2,47,16,null-source
2,48,14,null-source
2,49,13,null-source
2,50,12,null-source
2,51,11,null-source
2,52,10,null-source
2,53,9,null-source
2,54,8,null-source
2,55,7,null-source
2,56,5,null-source
2,57,4,null-source
2,58,2,null-source
3,1,14,null-source
3,2,9,null-source
3,3,7,null-source
3,4,39,null-source
3,5,34,null-source
3,6,29,null-source
3,7,28,null-source
3,8,20,null-source
3,9,18,null-source
3,10,17,null-source
3,11,12,null-source
3,12,10,null-source
3,13,6,null-source
3,14,1,null-source
3,15,58,null-source
3,16,57,null-source
3,17,56,null-source
3,18,55,null-source
3,19,54,null-source
3,20,53,null-source
3,21,52,null-source
3,22,51,null-source
3,23,50,null-source
3,24,49,null-source
3,25,48,null-source
3,26,47,null-source
3,27,46,null-source
3,28,45,null-source
3,29,44,null-source
3,30,43,null-source
3,31,42,null-source
3,32,41,null-source
3,33,40,null-source
3,34,38,null-source
3,35,37,null-source
3,36,36,null-source
3,37,35,null-source
3,38,33,null-source
3,39,32,null-source
3,40,31,null-source
3,41,30,null-source
3,42,27,null-source
3,43,26,null-source
3,44,25,null-source
3,45,24,null-source
3,46,23,null-source
