id,created_at,screen name,text,entities,fav count,lang,retweet count
634793683041304576,2015-08-21 18:26:22,GlennCosby,Me too! Will post assuming bride approves and it looks good 😀 https://t.co/Wt6vgNZF2o,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/Wt6vgNZF2o', u'indices': [62, 85], u'expanded_url': u'https://twitter.com/cvfry/status/634790203312500736', u'display_url': u'twitter.com/cvfry/status/6\u2026'}]}",0,en,0
634793529714286592,2015-08-21 18:25:46,GlennCosby,It's all worth it if it tastes good! Xxx https://t.co/DTO9FMcfm7,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/DTO9FMcfm7', u'indices': [41, 64], u'expanded_url': u'https://twitter.com/cvfry/status/634718459981615107', u'display_url': u'twitter.com/cvfry/status/6\u2026'}]}",2,en,0
634636411887616000,2015-08-21 08:01:26,GlennCosby,RT @Street_Heat: @PaulHollywood @GlennCosby @BritishBakeOff @MaryRBerry @Street_Heat fans are baking! #GBBO #baking #cake #samba http://t.c…,"{u'symbols': [], u'user_mentions': [{u'id': 185819398, u'indices': [3, 15], u'id_str': u'185819398', u'screen_name': u'Street_Heat', u'name': u'Street Heat'}, {u'id': 65626784, u'indices': [17, 31], u'id_str': u'65626784', u'screen_name': u'PaulHollywood', u'name': u'Paul Hollywood'}, {u'id': 1525472412, u'indices': [32, 43], u'id_str': u'1525472412', u'screen_name': u'GlennCosby', u'name': u'Glenn Cosby'}, {u'id': 234428224, u'indices': [44, 59], u'id_str': u'234428224', u'screen_name': u'BritishBakeOff', u'name': u'British Bake Off'}, {u'id': 1952352871, u'indices': [60, 71], u'id_str': u'1952352871', u'screen_name': u'MaryRBerry', u'name': u'Mary Berry'}, {u'id': 185819398, u'indices': [72, 84], u'id_str': u'185819398', u'screen_name': u'Street_Heat', u'name': u'Street Heat'}], u'hashtags': [{u'indices': [102, 107], u'text': u'GBBO'}, {u'indices': [108, 115], u'text': u'baking'}, {u'indices': [116, 121], u'text': u'cake'}, {u'indices': [122, 128], u'text': u'samba'}], u'urls': [], u'media': [{u'source_user_id': 185819398, u'source_status_id_str': u'634422682881277953', u'expanded_url': u'http://twitter.com/Street_Heat/status/634422682881277953/photo/1', u'display_url': u'pic.twitter.com/QeqUCComVP', u'url': u'http://t.co/QeqUCComVP', u'media_url_https': u'https://pbs.twimg.com/media/CM3sC0BWcAAh6zx.jpg', u'source_user_id_str': u'185819398', u'source_status_id': 634422682881277953L, u'id_str': u'634422655597309952', u'sizes': {u'small': {u'h': 340, u'resize': u'fit', u'w': 340}, u'large': {u'h': 1024, u'resize': u'fit', u'w': 1024}, u'medium': {u'h': 600, u'resize': u'fit', u'w': 600}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [139, 140], u'type': u'photo', u'id': 634422655597309952L, u'media_url': u'http://pbs.twimg.com/media/CM3sC0BWcAAh6zx.jpg'}]}",0,en,2
633191402348875776,2015-08-17 08:19:29,GlennCosby,Hurrah! https://t.co/DybPa107dw,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/DybPa107dw', u'indices': [8, 31], u'expanded_url': u'https://twitter.com/rachamael16/status/632903913809833984', u'display_url': u'twitter.com/rachamael16/st\u2026'}]}",2,en,0
632682190925639680,2015-08-15 22:36:03,GlennCosby,Oops. Add with cream cheese 😐 https://t.co/Xt0mtUDsnR,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/Xt0mtUDsnR', u'indices': [30, 53], u'expanded_url': u'https://twitter.com/rachamael16/status/632654351291523072', u'display_url': u'twitter.com/rachamael16/st\u2026'}]}",3,en,0
631733662015467521,2015-08-13 07:46:56,GlennCosby,Bless you! It was ironic that it was a PH recipe telling them to do it that way. Allegedly.  https://t.co/MBSgbiUdHf,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/MBSgbiUdHf', u'indices': [93, 116], u'expanded_url': u'https://twitter.com/hddempsey/status/631678223953203200', u'display_url': u'twitter.com/hddempsey/stat\u2026'}]}",7,en,0
631557247500480512,2015-08-12 20:05:56,GlennCosby,I think he shouted at the start of judging. Maybe it was just me. I'm not his biggest fan 😉 https://t.co/5s2uL4UsaR,"{u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/5s2uL4UsaR', u'indices': [92, 115], u'expanded_url': u'https://twitter.com/florashedden/status/631556940271890432', u'display_url': u'twitter.com/florashedden/s\u2026'}]}",2,en,0
631555790172782593,2015-08-12 20:00:08,GlennCosby,"@matrileybakes ""doughverload"" was funnier than the entire 58 minutes that preceded it 😀 #GBBO","{u'symbols': [], u'user_mentions': [{u'id': 3102031727L, u'indices': [0, 14], u'id_str': u'3102031727', u'screen_name': u'matrileybakes', u'name': u'Mat Riley'}], u'hashtags': [{u'indices': [88, 93], u'text': u'GBBO'}], u'urls': []}",6,en,0
631553433221361664,2015-08-12 19:50:46,GlennCosby,Don't cry @alvinmagallanes!!!! #GBBO,"{u'symbols': [], u'user_mentions': [{u'id': 45123875, u'indices': [10, 26], u'id_str': u'45123875', u'screen_name': u'alvinmagallanes', u'name': u'Alvin Magallanes'}], u'hashtags': [{u'indices': [31, 36], u'text': u'GBBO'}], u'urls': []}",9,en,6
631553319371206656,2015-08-12 19:50:19,GlennCosby,@florashedden did Paul think you are deaf??,"{u'symbols': [], u'user_mentions': [{u'id': 845338280, u'indices': [0, 13], u'id_str': u'845338280', u'screen_name': u'florashedden', u'name': u'Flora Shedden'}], u'hashtags': [], u'urls': []}",0,en,0
631553242334396416,2015-08-12 19:50:01,GlennCosby,@iancpix for star baker??? #GBBO,"{u'symbols': [], u'user_mentions': [{u'id': 2471532482L, u'indices': [0, 8], u'id_str': u'2471532482', u'screen_name': u'iancpix', u'name': u'Ian Cumming'}], u'hashtags': [{u'indices': [27, 32], u'text': u'GBBO'}], u'urls': []}",1,no,0
631552336163405824,2015-08-12 19:46:25,GlennCosby,I've been waiting for @sueperkins to threaten to munch their boxes. #GBBO,"{u'symbols': [], u'user_mentions': [{u'id': 43963184, u'indices': [22, 33], u'id_str': u'43963184', u'screen_name': u'sueperkins', u'name': u'Sue Perkins'}], u'hashtags': [{u'indices': [68, 73], u'text': u'GBBO'}], u'urls': []}",36,en,9
