topicId,rank,docId,filename
1,1,19,null-source
1,2,9,null-source
1,3,7,null-source
1,4,16,null-source
1,5,15,null-source
1,6,13,null-source
1,7,12,null-source
1,8,11,null-source
1,9,8,null-source
1,10,6,null-source
1,11,5,null-source
1,12,3,null-source
1,13,18,null-source
1,14,17,null-source
1,15,14,null-source
1,16,10,null-source
1,17,4,null-source
1,18,2,null-source
1,19,1,null-source
2,1,9,null-source
2,2,1,null-source
2,3,7,null-source
2,4,16,null-source
2,5,15,null-source
2,6,13,null-source
2,7,12,null-source
2,8,11,null-source
2,9,8,null-source
2,10,2,null-source
2,11,19,null-source
2,12,18,null-source
2,13,17,null-source
2,14,14,null-source
2,15,10,null-source
2,16,6,null-source
2,17,5,null-source
2,18,4,null-source
2,19,3,null-source
3,1,13,null-source
3,2,10,null-source
3,3,19,null-source
3,4,18,null-source
3,5,15,null-source
3,6,9,null-source
3,7,5,null-source
3,8,17,null-source
3,9,16,null-source
3,10,8,null-source
3,11,6,null-source
3,12,3,null-source
3,13,14,null-source
3,14,12,null-source
3,15,11,null-source
3,16,7,null-source
3,17,4,null-source
3,18,2,null-source
3,19,1,null-source
4,1,16,null-source
4,2,14,null-source
4,3,8,null-source
4,4,6,null-source
4,5,19,null-source
4,6,13,null-source
4,7,7,null-source
4,8,18,null-source
4,9,17,null-source
4,10,15,null-source
4,11,12,null-source
4,12,11,null-source
4,13,10,null-source
4,14,9,null-source
4,15,5,null-source
4,16,4,null-source
4,17,3,null-source
4,18,2,null-source
4,19,1,null-source
5,1,13,null-source
5,2,12,null-source
5,3,19,null-source
5,4,16,null-source
5,5,5,null-source
5,6,3,null-source
5,7,15,null-source
5,8,14,null-source
5,9,9,null-source
5,10,4,null-source
5,11,2,null-source
5,12,18,null-source
5,13,17,null-source
5,14,11,null-source
5,15,10,null-source
5,16,8,null-source
5,17,7,null-source
5,18,6,null-source
5,19,1,null-source
6,1,14,null-source
6,2,17,null-source
6,3,10,null-source
6,4,8,null-source
6,5,7,null-source
6,6,3,null-source
6,7,12,null-source
6,8,9,null-source
6,9,6,null-source
6,10,19,null-source
6,11,18,null-source
6,12,16,null-source
6,13,15,null-source
6,14,13,null-source
6,15,11,null-source
6,16,5,null-source
6,17,4,null-source
6,18,2,null-source
6,19,1,null-source
7,1,11,null-source
7,2,8,null-source
7,3,7,null-source
7,4,19,null-source
7,5,17,null-source
7,6,14,null-source
7,7,12,null-source
7,8,10,null-source
7,9,9,null-source
7,10,3,null-source
7,11,15,null-source
7,12,1,null-source
7,13,18,null-source
7,14,16,null-source
7,15,13,null-source
7,16,6,null-source
7,17,5,null-source
7,18,4,null-source
7,19,2,null-source
8,1,12,null-source
8,2,17,null-source
8,3,16,null-source
8,4,15,null-source
8,5,11,null-source
8,6,10,null-source
8,7,6,null-source
8,8,3,null-source
8,9,19,null-source
8,10,18,null-source
8,11,14,null-source
8,12,13,null-source
8,13,9,null-source
8,14,8,null-source
8,15,7,null-source
8,16,5,null-source
8,17,4,null-source
8,18,2,null-source
8,19,1,null-source
9,1,7,null-source
9,2,3,null-source
9,3,10,null-source
9,4,5,null-source
9,5,17,null-source
9,6,2,null-source
9,7,19,null-source
9,8,18,null-source
9,9,16,null-source
9,10,15,null-source
9,11,14,null-source
9,12,13,null-source
9,13,12,null-source
9,14,11,null-source
9,15,9,null-source
9,16,8,null-source
9,17,6,null-source
9,18,4,null-source
9,19,1,null-source
10,1,19,null-source
10,2,10,null-source
10,3,16,null-source
10,4,15,null-source
10,5,14,null-source
10,6,5,null-source
10,7,8,null-source
10,8,7,null-source
10,9,1,null-source
10,10,18,null-source
10,11,17,null-source
10,12,13,null-source
10,13,12,null-source
10,14,11,null-source
10,15,9,null-source
10,16,6,null-source
10,17,4,null-source
10,18,3,null-source
10,19,2,null-source
