date,docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,
2015-04-28 16:37:47,1,null-source,2,0.6,10,0.2,7,0.2,,,,,,,,
2015-04-28 14:27:36,2,null-source,9,0.333,5,0.333,2,0.333,,,,,,,,
2015-04-28 13:25:55,3,null-source,9,0.25,7,0.167,6,0.167,5,0.167,8,0.083,3,0.083,1,0.083
2015-04-28 13:18:51,4,null-source,5,1,,,,,,,,,,,,
2015-04-28 09:11:03,5,null-source,10,0.222,9,0.222,5,0.222,3,0.222,1,0.111,,,,
2015-04-28 08:58:58,6,null-source,4,0.333,8,0.167,6,0.167,3,0.167,1,0.167,,,,
2015-04-24 16:45:14,7,null-source,9,0.214,7,0.214,6,0.143,2,0.143,1,0.143,10,0.071,4,0.071
2015-04-24 13:28:04,8,null-source,7,0.273,6,0.182,4,0.182,10,0.091,3,0.091,2,0.091,1,0.091
2015-04-23 16:53:07,9,null-source,2,0.273,7,0.182,3,0.182,1,0.182,6,0.091,5,0.091,,
2015-04-23 16:12:54,10,null-source,10,0.231,3,0.231,9,0.154,7,0.154,6,0.154,8,0.077,,
2015-04-23 14:19:10,11,null-source,7,0.625,8,0.125,2,0.125,1,0.125,,,,,,
2015-04-23 10:57:04,12,null-source,5,0.333,8,0.25,7,0.167,6,0.083,2,0.083,1,0.083,,
2015-04-22 10:54:21,13,null-source,5,0.4,3,0.3,4,0.1,2,0.1,1,0.1,,,,
2015-04-21 18:19:06,14,null-source,6,0.3,10,0.2,7,0.2,4,0.2,5,0.1,,,,
2015-04-21 15:12:39,15,null-source,10,0.222,3,0.222,8,0.111,7,0.111,5,0.111,2,0.111,1,0.111
2015-04-21 13:44:09,16,null-source,10,0.2,5,0.2,4,0.2,8,0.1,3,0.1,2,0.1,1,0.1
2015-04-20 09:18:22,17,null-source,8,0.25,7,0.25,6,0.25,9,0.125,3,0.125,,,,
2015-04-17 21:14:31,18,null-source,3,1,,,,,,,,,,,,
2015-04-17 13:49:14,19,null-source,10,0.25,7,0.167,5,0.167,3,0.167,1,0.167,4,0.083,,
